factor_name,group,subgroup,short_description,doc_id
ETFAssetClass,,Taxonomy,ETFAssetClass returns the ETF Asset Class. \n\nFor example to eliminate all currency ETFs enter:\nETFAssetClass !=  CURR,723
ETFCountry,,Taxonomy,ETFCountry returns the ETF Country. \n\nFor example to eliminate all chinese ETFs enter:\nETFCountry !=  CHINA\n\nNOTE: ETFs that span multiple countries are set to MULTICTRY.,732
ETFFamily,,Taxonomy,ETFFamily returns the ETF Family. \n\nFor example to eliminate all iShares ETFs enter:\nETFFamily !=  ISHARES,740
ETFMethod,,Taxonomy,ETFMethod returns the ETF Method. \n\nFor example to return only  short ETFs enter:\nETFMethod =  LEVSHORT or ETFMethod = STANSHORT,725
ETFRegion,,Taxonomy,ETFRegion returns the ETF Region. \n\nFor example to eliminate all emerging markets ETFs enter:\nETFRegion !=  EMERG,822
ETFSector,,Taxonomy,ETFSector returns the ETFSector. \n\nFor example to eliminate all financial ETFs enter:\nETFSector !=  FINANCIAL,726
ETFSize,,Taxonomy,ETFSize returns the ETF Size. \n\nFor example to eliminate all smallcap ETFs enter:\nETFSize !=  ETF_SMALLCAP,727
ETFStyle,,Taxonomy,ETFStyle returns the ETF Style. \n\nFor example to eliminate all value ETFs enter:\nETFStyle !=  VALUE,728
Rank,Advanced Functions,Ranking,"Latest stock rank updated daily Tuesday-Saturday. Usage examples:\n\nPortfolios and Sims: to sell a position when rank drops below 60, enter the following SELL rule:\n\nRank < 60\n\nScreener: to screen for stocks with a Rank above 90 select the Ranking System to use and enter the following rule:\n\nRank > 90",0
RankBars,Advanced Functions,Ranking,"Returns the number of bars of the last rank data. NOTE: A ""bar"" is a trading day. Therefore there are 5 bars in a week with no holidays.",0
RankPos,Advanced Functions,Ranking,"Return the position within the ranked stocks array. The highest ranked stock is position 1, the next is 2, etc.",0
IndCount,Advanced Functions,Screener Only,Running count of stocks in the industry. This rule must be the last rule in the screen. ,0
SecCount,Advanced Functions,Screener Only,Running count of stocks in the sector. This rule must be the last rule in the screen.,0
SubIndCount,Advanced Functions,Screener Only,Running count of stocks in the sub-industry. This rule must be the last rule in the screen.,0
SubSecCount,Advanced Functions,Screener Only,Running count of stocks in the sub-sector. This rule must be the last rule in the screen.,0
Opinion,Advanced Functions,"Watchlists, Holdings, & Opinions",Returns your most recent opinion for the stock or NA,1333
Opinion%Chg,Advanced Functions,"Watchlists, Holdings, & Opinions",Returns the total return % since your most recent opinion for the stock or NA,1333
OpinionBars,Advanced Functions,"Watchlists, Holdings, & Opinions",Returns the number of bars since your most recent opinion for the stock or NA,1333
OpinionDays,Advanced Functions,"Watchlists, Holdings, & Opinions",Returns the number of days since your most recent opinion for the stock or NA,1333
AstCur%AssetsA,Balance Sheet,Assets-Current,"Current Assets Total, % of Annual Assets",873
AstCur%AssetsQ,Balance Sheet,Assets-Current,"Current Assets Total, % of Quarterly Assets",873
AstCur3YAvg,Balance Sheet,Assets-Current,"Current Assets Total, Three Year Average",873
AstCur5YAvg,Balance Sheet,Assets-Current,"Current Assets Total, Five Year Average",873
AstCurA,Balance Sheet,Assets-Current,"Current Assets Total, Latest Year",873
AstCurGr%10Y,Balance Sheet,Assets-Current,"Current Assets Total, Ten Year Annualized Growth",873
AstCurGr%3Y,Balance Sheet,Assets-Current,"Current Assets Total, Three Year Annualized Growth",873
AstCurGr%5Y,Balance Sheet,Assets-Current,"Current Assets Total, Five Year Annualized Growth",873
AstCurGr%A,Balance Sheet,Assets-Current,"Current Assets Total, Growth Annual",873
AstCurGr%PQ,Balance Sheet,Assets-Current,"Current Assets Total, Q vs Previous Q Growth",873
AstCurGr%PQTTM,Balance Sheet,Assets-Current,"Current Assets Total, Trailing Twelve Months Growth 1Q Ago",873
AstCurGr%PYQ,Balance Sheet,Assets-Current,"Current Assets Total, Q vs 1 year ago Q Growth",873
AstCurGr%TTM,Balance Sheet,Assets-Current,"Current Assets Total, Trailing Twelve Months Growth",873
AstCurOther%AssetsA,Balance Sheet,Assets-Current,"Current Assets Other, % of Annual Assets",874
AstCurOther%AssetsQ,Balance Sheet,Assets-Current,"Current Assets Other, % of Quarterly Assets",874
AstCurOther3YAvg,Balance Sheet,Assets-Current,"Current Assets Other, Three Year Average",874
AstCurOther5YAvg,Balance Sheet,Assets-Current,"Current Assets Other, Five Year Average",874
AstCurOtherA,Balance Sheet,Assets-Current,"Current Assets Other, Latest Year",874
AstCurOtherGr%10Y,Balance Sheet,Assets-Current,"Current Assets Other, Ten Year Annualized Growth",874
AstCurOtherGr%3Y,Balance Sheet,Assets-Current,"Current Assets Other, Three Year Annualized Growth",874
AstCurOtherGr%5Y,Balance Sheet,Assets-Current,"Current Assets Other, Five Year Annualized Growth",874
AstCurOtherGr%A,Balance Sheet,Assets-Current,"Current Assets Other, Growth Annual",874
AstCurOtherGr%PQ,Balance Sheet,Assets-Current,"Current Assets Other, Q vs Previous Q Growth",874
AstCurOtherGr%PQTTM,Balance Sheet,Assets-Current,"Current Assets Other, Trailing Twelve Months Growth 1Q Ago",874
AstCurOtherGr%PYQ,Balance Sheet,Assets-Current,"Current Assets Other, Q vs 1 year ago Q Growth",874
AstCurOtherGr%TTM,Balance Sheet,Assets-Current,"Current Assets Other, Trailing Twelve Months Growth",874
AstCurOtherPQ,Balance Sheet,Assets-Current,"Current Assets Other, Previous Quarter",874
AstCurOtherPSA,Balance Sheet,Assets-Current,"Current Assets Other, Annual Per Share",874
AstCurOtherPSQ,Balance Sheet,Assets-Current,"Current Assets Other, Quarterly Per Share",874
AstCurOtherPTM,Balance Sheet,Assets-Current,"Current Assets Other, Previous Trailing 12 Months",874
AstCurOtherPY,Balance Sheet,Assets-Current,"Current Assets Other, Previous Year",874
AstCurOtherPYQ,Balance Sheet,Assets-Current,"Current Assets Other, Previous Quarter 1 Year Ago",874
AstCurOtherQ,Balance Sheet,Assets-Current,"Current Assets Other, Latest Quarter",874
AstCurOtherRegEstANN,Balance Sheet,Assets-Current,"Current Assets Other, Ten Year Regression Estimate",874
AstCurOtherRegEstTTM,Balance Sheet,Assets-Current,"Current Assets Other, Five Year Regression Estimate",874
AstCurOtherRegGr%ANN,Balance Sheet,Assets-Current,"Current Assets Other, Ten Year Regression Estimate",874
AstCurOtherRegGr%TTM,Balance Sheet,Assets-Current,"Current Assets Other, Five Year Regression Growth",874
AstCurOtherRSD%ANN,Balance Sheet,Assets-Current,"Current Assets Other, Ten Year Relative Standard Deviation",874
AstCurOtherRSD%TTM,Balance Sheet,Assets-Current,"Current Assets Other, Five Year Relative Standard Deviation",874
AstCurOtherTTM,Balance Sheet,Assets-Current,"Current Assets Other, Trailing 12 Months",874
AstCurPQ,Balance Sheet,Assets-Current,"Current Assets Total, Previous Quarter",873
AstCurPSA,Balance Sheet,Assets-Current,"Current Assets Total, Annual Per Share",873
AstCurPSQ,Balance Sheet,Assets-Current,"Current Assets Total, Quarterly Per Share",873
AstCurPTM,Balance Sheet,Assets-Current,"Current Assets Total, Previous Trailing 12 Months",873
AstCurPY,Balance Sheet,Assets-Current,"Current Assets Total, Previous Year",873
AstCurPYQ,Balance Sheet,Assets-Current,"Current Assets Total, Previous Quarter 1 Year Ago",873
AstCurQ,Balance Sheet,Assets-Current,"Current Assets Total, Latest Quarter",873
AstCurRegEstANN,Balance Sheet,Assets-Current,"Current Assets Total, Ten Year Regression Estimate",873
AstCurRegEstTTM,Balance Sheet,Assets-Current,"Current Assets Total, Five Year Regression Estimate",873
AstCurRegGr%ANN,Balance Sheet,Assets-Current,"Current Assets Total, Ten Year Regression Estimate",873
AstCurRegGr%TTM,Balance Sheet,Assets-Current,"Current Assets Total, Five Year Regression Growth",873
AstCurRSD%ANN,Balance Sheet,Assets-Current,"Current Assets Total, Ten Year Relative Standard Deviation",873
AstCurRSD%TTM,Balance Sheet,Assets-Current,"Current Assets Total, Five Year Relative Standard Deviation",873
AstCurTTM,Balance Sheet,Assets-Current,"Current Assets Total, Trailing 12 Months",873
Cash%AssetsA,Balance Sheet,Assets-Current,"Cash, % of Annual Assets",984
Cash%AssetsQ,Balance Sheet,Assets-Current,"Cash, % of Quarterly Assets",984
Cash3YAvg,Balance Sheet,Assets-Current,"Cash, Three Year Average",984
Cash5YAvg,Balance Sheet,Assets-Current,"Cash, Five Year Average",984
CashA,Balance Sheet,Assets-Current,"Cash, Latest Year",984
CashEquiv%AssetsA,Balance Sheet,Assets-Current,"Cash and Equivalents, % of Annual Assets",889
CashEquiv%AssetsQ,Balance Sheet,Assets-Current,"Cash and Equivalents, % of Quarterly Assets",889
CashEquiv3YAvg,Balance Sheet,Assets-Current,"Cash and Equivalents, Three Year Average",889
CashEquiv5YAvg,Balance Sheet,Assets-Current,"Cash and Equivalents, Five Year Average",889
CashEquivA,Balance Sheet,Assets-Current,"Cash and Equivalents, Latest Year",889
CashEquivGr%10Y,Balance Sheet,Assets-Current,"Cash and Equivalents, Ten Year Annualized Growth",889
CashEquivGr%3Y,Balance Sheet,Assets-Current,"Cash and Equivalents, Three Year Annualized Growth",889
CashEquivGr%5Y,Balance Sheet,Assets-Current,"Cash and Equivalents, Five Year Annualized Growth",889
CashEquivGr%A,Balance Sheet,Assets-Current,"Cash and Equivalents, Growth Annual",889
