function_name,group,subgroup,english,item_type,short_desc,params,time_code,doc_id
BenchClose,,Benchmark Functions,Benchmark Close,FUNC,Historical Close price of the benchmark. Ex:\n\nBenchClose(0)  gets the last close\nBenchClose(10)  gets the close 10 bars ago.,barsAgo,,0
ETFAssetClassSet,,Taxonomy,ETF Asset Class,FUNC,Return 1 (TRUE) if the ETF Asset Class is one of the parameters,"x1[,x2..x30]",,723
ETFCountrySet,,Taxonomy,ETF Country,FUNC,Return 1 (TRUE) if the ETF Country is one of the parameters,"x1[,x2..x30]",,732
ETFFamilySet,,Taxonomy,ETF Family,FUNC,Return 1 (TRUE) if the ETF Family is one of the parameters,"x1[,x2..x30]",,740
ETFMethodSet,,Taxonomy,ETF Method,FUNC,Return 1 (TRUE) if the ETF Method is one of the parameters,"x1[,x2..x30]",,725
ETFRegionSet,,Taxonomy,ETF Region,FUNC,Return 1 (TRUE) if the ETF Region is one of the parameters,"x1[,x2..x30]",,823
ETFSectorSet,,Taxonomy,ETF Sector,FUNC,Return 1 (TRUE) if the ETF Sector is one of the parameters,"x1[,x2..x30]",,726
ETFSizeSet,,Taxonomy,ETF Size,FUNC,Return 1 (TRUE) if the ETF Size is one of the parameters,"x1[,x2..x30]",,727
ETFStyleSet,,Taxonomy,ETF Style,FUNC,Return 1 (TRUE) if the ETF Style is one of the parameters,"x1[,x2..x30]",,728
UnivExclude,,Universe Filters,Exclude by ticker,FUNC,Exclude stocks in universe with specific tickers,"tic1,tic2...",,0
UnivSubset,,Universe Filters,Filter by ticker,FUNC,Only use stocks in universe with specific tickers,"tic1,tic2...",,0
UnivRBICS,,Universe Filters,Filter by RBICS,FUNC,Only use stocks in universe with specific RBICS,"rcode,rcode,rcode,...",,1337
UnivStdDev,,Universe Operations,Universe Standard Deviation,FUNC,"Calculate the standard deviation of the values of ""formula"" for the stocks that pass ""criteria""","criteria,""formula""",,0
UnivSum,,Universe Operations,Universe Sum,FUNC,"Calculate the sum of the values of ""formula"" for the stocks that pass ""criteria""","criteria,""formula""",,0
UnivMax,,Universe Operations,Universe Maximum,FUNC,"Calculate the maximum value of ""formula"" for the stocks that pass ""criteria""","criteria,""formula""",,0
UnivMedian,,Universe Operations,Universe Median,FUNC,"Calculate the median of the values of ""formula"" for the stocks that pass ""criteria""","criteria,""formula""",,0
UnivMin,,Universe Operations,Universe Minimum,FUNC,"Calculate the minimum value of ""formula"" for the stocks that pass ""criteria""","criteria,""formula""",,0
UnivAvg,,Universe Operations,Universe Average,FUNC,"Calculate the simple average of the values of ""formula"" for the stocks that pass ""criteria""","criteria,""formula""",,0
UnivCapAvg,,Universe Operations,Universe Cap Average,FUNC,"Calculate the cap-weighted average of the values of ""formula"" for the stocks that pass ""criteria""","criteria,""formula""",,0
UnivCnt,,Universe Operations,Universe Count,FUNC,"Count stocks that pass ""criteria""",criteria,,0
AIFactor,Advanced Functions,AI Factor,Predictions,FUNC,Returns the inferences (predictions) of your trained Predictor. Mainly for use to rebalance but it can also be used in backtests with some restrictions.,"AI Factor Name, ""Predictor Name""",,1421
AIFactorValidation,Advanced Functions,AI Factor,Validation Predictions,FUNC,Returns the saved inference (prediction) of your model's validation,"AI Factor Name, ""Model Name""[, ""dup_id""]",,1422
FHistStdDev,Advanced Functions,FHist Functions,Historical Standard Deviation,FUNC,Returns the SD of 'formula' sampled multiple times in the past. Split/dividend sensitive values adjusted to the as-of date (observation date).,"formula, samples [, weeks_increment=1, NA_pct=20]",,1359
FHistRelStdDev,Advanced Functions,FHist Functions,Historical Relative Standard Deviation,FUNC,Returns the RSD of 'formula' sampled multiple times in the past. Split/dividend sensitive values adjusted to the as-of date (observation date).,"formula, samples [, weeks_increment=1, NA_pct=20]",,1359
FHist,Advanced Functions,FHist Functions,Point In Time Value,FUNC,Returns the value of 'formula' calculated in the past (or future when using negative values). Split/dividend sensitive values adjusted to the as-of date (observation date).,"formula, weeksAgo",,1293
FHistAvg,Advanced Functions,FHist Functions,Historical Average,FUNC,Returns the average of 'formula' sampled multiple times in the past. Split/dividend sensitive values adjusted to the as-of date (observation date).,"formula, samples [, weeks_increment=1, NA_pct=20]",,1359
FHistMed,Advanced Functions,FHist Functions,Historical Median,FUNC,Returns the median of 'formula' sampled multiple times in the past. Split/dividend sensitive values adjusted to the as-of date (observation date).,"formula, samples [, weeks_increment=1, NA_pct=20]",,1359
FHistMin,Advanced Functions,FHist Functions,Historical Min,FUNC,Returns the minimum value of 'formula' sampled multiple times in the past. Split/dividend sensitive values adjusted to the as-of date (observation date).,"formula, samples [, weeks_increment=1, NA_pct=20]",,1359
FHistMax,Advanced Functions,FHist Functions,Historical Max,FUNC,Returns the maximum value of 'formula' sampled multiple times in the past. Split/dividend sensitive values adjusted to the as-of date (observation date).,"formula, samples [, weeks_increment=1, NA_pct=20]",,1359
