parameter_name,parameter_values,group,subgroup,short_desc
actual_item,#EPS,Constants,Actual Item (actual_item),Earnings Per Share
actual_item,#SALES,Constants,Actual Item (actual_item),Sales
actual_item,#CAPX,Constants,Actual Item (actual_item),Capital Expenditure 
actual_item,#EBITDA,Constants,Actual Item (actual_item),EBITDA
actual_item,#FCF,Constants,Actual Item (actual_item),Free Cash Flow
actual_item,#FFO,Constants,Actual Item (actual_item),Funds From Operations
actual_item,#PTI,Constants,Actual Item (actual_item),Pre-Tax Profit
actual_item,#SOE,Constants,Actual Item (actual_item),Stock Option Expense
actual_item,#NET,Constants,Actual Item (actual_item),Net Profit
actual_item,#EPS_GAAP,Constants,Actual Item (actual_item),Reported Earnings Per Share
actual_item,#EBIT,Constants,Actual Item (actual_item),EBIT
actual_item,#SHS_REPURCH,Constants,Actual Item (actual_item),Share Repurchase
method,#Avg,Constants,Aggregate Method Parameter,"Average the values (default, recommended)"
method,#CapAvg,Constants,Aggregate Method Parameter,Cap weighted average the values
outlier_handl,#Winsor,Constants,Aggregate Outlier Handler Parameter,The outliers are set to the highest/lowest value that are not outliers
outlier_handl,#Exclude,Constants,Aggregate Outlier Handler Parameter,Excludes outliers from the aggregation (default)
cons_item,#EPSNTM,Constants,Consensus Estimate (cons_item),EPS Next Twelve Months
cons_item,#EPSQ,Constants,Consensus Estimate (cons_item),EPS Quarter
cons_item,#EPSY,Constants,Consensus Estimate (cons_item),EPS Annual
cons_item,#FCFNTM,Constants,Consensus Estimate (cons_item),FCF Next Twelve Months
cons_item,#FCFQ,Constants,Consensus Estimate (cons_item),FCF Quarter
cons_item,#FCFY,Constants,Consensus Estimate (cons_item),FCF Annual
cons_item,#PT,Constants,Consensus Estimate (cons_item),Price Target
cons_item,#SALENTM,Constants,Consensus Estimate (cons_item),Sales Next Twelve Months
cons_item,#SALEQ,Constants,Consensus Estimate (cons_item),Sales Quarter
cons_item,#SALEY,Constants,Consensus Estimate (cons_item),Sales Annual
cons_item,#EBITDANTM,Constants,Consensus Estimate (cons_item),EBITDA Next Twelve Months
cons_item,#EBITDAQ,Constants,Consensus Estimate (cons_item),EBITDA Quarter
cons_item,#EBITDAY,Constants,Consensus Estimate (cons_item),EBITDA Annual
cons_item,#CAPXNTM,Constants,Consensus Estimate (cons_item),CapEx Next Twelve Months
cons_item,#CAPXQ,Constants,Consensus Estimate (cons_item),CapEx Quarter
cons_item,#CAPXY,Constants,Consensus Estimate (cons_item),CapEx Annual
cons_item,#LTG,Constants,Consensus Estimate (cons_item),Long Term Growth
rec_stat,#BuyCnt,Constants,Consensus Recommendation (rec_stat),Number of Buy Recommendations
rec_stat,#AvgRec,Constants,Consensus Recommendation (rec_stat),Average of all Recommendation
rec_stat,#UnderCnt,Constants,Consensus Recommendation (rec_stat),Number of Underweight Recommendations
rec_stat,#OverCnt,Constants,Consensus Recommendation (rec_stat),Number of Overweight Recommendations
rec_stat,#RecCnt,Constants,Consensus Recommendation (rec_stat),Number of Recommendations
rec_stat,#HoldCnt,Constants,Consensus Recommendation (rec_stat),Number of Hold Recommendations
rec_stat,#SellCnt,Constants,Consensus Recommendation (rec_stat),Number of Sell Recommendations
ca_retvalue,#ACTIONCNT,Constants,Corporate Actions (ca_retvalue),Number of actions that matched or 0
ca_retvalue,#ACTIONTYPE,Constants,Corporate Actions (ca_retvalue),The corporate action type
ca_retvalue,#TRUEFALSE,Constants,Corporate Actions (ca_retvalue),"TRUE if a match is found, FALSE otherwise"
ca_retvalue,#ANNCEDAYS,Constants,Corporate Actions (ca_retvalue),Number of days since the announce date or NA
ca_retvalue,#CLOSEDAYS,Constants,Corporate Actions (ca_retvalue),Number of days since the close/expiry date or NA
ca_status,#COMPLETION,Constants,Corporate Actions (ca_status),Completion
ca_status,#MEETING,Constants,Corporate Actions (ca_status),Meeting
ca_status,#APPROVAL,Constants,Corporate Actions (ca_status),Approval
ca_status,#TERMINATION,Constants,Corporate Actions (ca_status),Termination
ca_status,#OTHER,Constants,Corporate Actions (ca_status),Other ICE Data status
ca_status,#STATUSANY,Constants,Corporate Actions (ca_status),Any status
ca_status,#STATUSFAIL,Constants,Corporate Actions (ca_status),Either #TERMINATION or #REJECTION
ca_status,#STATUSNA,Constants,Corporate Actions (ca_status),Status not specified
ca_status,#STATUSOK,Constants,Corporate Actions (ca_status),Either #COMPLETION or #APPROVAL
ca_status,#REJECTION,Constants,Corporate Actions (ca_status),Rejection
ca_type,#SPINOFF,Constants,Corporate Actions (ca_type),Spinoff
ca_type,#SPLIT,Constants,Corporate Actions (ca_type),Split
ca_type,#MANDA,Constants,Corporate Actions (ca_type),Any of the individual actions except #SPLIT
ca_type,#MANDAEXSPIN,Constants,Corporate Actions (ca_type),Any of the individual actions except #SPLIT  & #SPINOFF
ca_type,#BUYOFF,Constants,Corporate Actions (ca_type),Buy Offer
ca_type,#MERGER,Constants,Corporate Actions (ca_type),Merger
ca_type,#MERGEREL,Constants,Corporate Actions (ca_type),Merger Elect
ca_type,#NEWOFFER,Constants,Corporate Actions (ca_type),New Offer
ca_type,#LIQUIDATION,Constants,Corporate Actions (ca_type),Liquidation
div_dt,#AnnDate,Constants,Dividend Date,Announce date
div_dt,#PayDate,Constants,Dividend Date,Pay date
div_dt,#ExDate,Constants,Dividend Date,Ex date
div_type,#Regular,Constants,Dividend Type,Regular dividend (used to calculate Yield)
div_type,#Special,Constants,Dividend Type,Special dividend (not used to calculate Yield)
div_type,#AllDiv,Constants,Dividend Type,Any kind of dividend
type,QTR,Constants,Filing Period,Interim
type,TTM,Constants,Filing Period,Trailing Twelve Months
type,ANN,Constants,Filing Period,Annual
incl_na,#InclNA,Constants,Formula Functions Include NA Parameter,Include NA values
incl_na,#ExclNA,Constants,Formula Functions Include NA Parameter,Exclude NA values
incl_na,#NANeutral,Constants,Formula Functions Include NA Parameter,NA Neutral
scope,#SubSector,Constants,Formula Functions Scope Parameter,Operate within Sub-Sectors in selected universe
scope,#SubIndustry,Constants,Formula Functions Scope Parameter,Operate within Sub-Industries in selected universe
scope,#AssetClass,Constants,Formula Functions Scope Parameter,Operate within each ETF Class
